strain	date	division	PB2	PB1	PA	NP	NA	MP	NS	PB2_letter	PB1_letter	PA_letter	NP_letter	NA_letter	MP_letter	NS_letter	constellation
A/swine/North_Carolina/A01795709/2015|10/29/2015|North_Carolina	2015-10-29	North Carolina	?	?	?	?	2002B.2	pdm	?								?
A/swine/Illinois/A01797275/2015|11/02/2015|Illinois	2015-11-02	Illinois	?	?	?	?	2002B.2	pdm	?								?
A/swine/Arkansas/A01797106/2015|11/02/2015|Arkansas	2015-11-02	Arkansas	?	?	?	?	?	pdm	?								?
A/swine/Ohio/A01797012/2015|11/02/2015|Ohio	2015-11-02	Ohio	?	?	?	?	2002B.2	pdm	?								?
A/swine/Indiana/A01812059/2015|11/04/2015|Indiana	2015-11-04	Indiana	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/OK/A01377632/2015|11/04/2015|Oklahoma	2015-11-04	Oklahoma	?	?	?	?	2002B.2	pdm	?								?
A/swine/OK/A01377622/2015|11/04/2015|Oklahoma	2015-11-04	Oklahoma	?	?	?	?	2002B.2	pdm	?								?
A/swine/Iowa/A01795793/2015|11/05/2015|Iowa	2015-11-05	Iowa	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/North_Carolina/A01796262/2015|11/06/2015|North_Carolina	2015-11-06	North Carolina	?	?	?	?	?	pdm	?								?
A/swine/North_Carolina/A01796260/2015|11/06/2015|North_Carolina	2015-11-06	North Carolina	?	?	?	?	2002B.2	pdm	?								?
A/swine/Ohio/A01941023/2015|11/09/2015|Ohio	2015-11-09	Ohio	?	?	?	?	2002A.2	pdm	?								?
A/swine/Illinois/A01796273/2015|11/11/2015|Illinois	2015-11-11	Illinois	?	?	?	?	2002B.2	pdm	?								?
A/swine/Minnesota/A01941131/2015|11/16/2015|Minnesota	2015-11-16	Minnesota	?	?	?	?	2002B.2	pdm	?								?
A/swine/Oklahoma/A01896023/2015|11/16/2015|Oklahoma	2015-11-16	Oklahoma	?	?	?	?	2002B.2	pdm	?								?
A/swine/Florida/A01104089/2015|11/17/2015|Florida	2015-11-17	Florida	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Iowa/A01796466/2015|11/19/2015|Iowa	2015-11-19	Iowa	?	?	?	?	2002B.2	pdm	?								?
A/swine/Ohio/A01895033/2015|11/24/2015|Ohio	2015-11-24	Ohio	?	?	?	?	2002B.2	pdm	?								?
A/swine/Ohio/A01796509/2015|11/30/2015|Ohio	2015-11-30	Ohio	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Kansas/A01377649/2015|12/07/2015|Kansas	2015-12-07	Kansas	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/North_Carolina/A01727367/2015|12/08/2015|North_Carolina	2015-12-08	North Carolina	?	?	?	?	2002B.2	pdm	?								?
A/swine/Ohio/A01727442/2015|12/09/2015|Ohio	2015-12-09	Ohio	?	?	?	?	2002B.2	pdm	?								?
A/swine/Illinois/A01727532/2015|12/10/2015|Illinois	2015-12-10	Illinois	?	?	?	?	2002B.2	pdm	?								?
A/swine/Illinois/A01727528/2015|12/11/2015|Illinois	2015-12-11	Illinois	?	?	?	?	2002B.2	pdm	?								?
A/swine/Illinois/A01727602/2015|12/11/2015|Illinois	2015-12-11	Illinois	?	?	?	?	2002B.2	pdm	?								?
A/swine/Minnesota/A01941504/2015|12/14/2015|Minnesota	2015-12-14	Minnesota	?	?	?	?	2002B.2	pdm	?								?
A/swine/Minnesota/A01941515/2015|12/15/2015|Minnesota	2015-12-15	Minnesota	?	?	?	?	2002B.2	pdm	?								?
A/swine/Pennsylvania/A01727958/2015|12/15/2015|Pennsylvania	2015-12-15	Pennsylvania	?	?	?	?	2002B.2	pdm	?								?
A/swine/Oklahoma/A01728023/2015|12/16/2015|Oklahoma	2015-12-16	Oklahoma	TRIG	?	TRIG	pdm	2002B.2	pdm	TRIG								?
A/swine/Illinois/A01728293/2015|12/22/2015|Illinois	2015-12-22	Illinois	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/North_Carolina/A01728452/2015|12/28/2015|North_Carolina	2015-12-28	North Carolina	?	?	?	?	2002B.2	pdm	?								?
A/swine/Illinois/A01728756/2015|12/29/2015|Illinois	2015-12-29	Illinois	?	?	?	?	2002B.2	pdm	?								?
A/swine/North_Carolina/A01728545/2015|12/29/2015|North_Carolina	2015-12-29	North Carolina	TRIG	?	TRIG	pdm	2002B.2	pdm	TRIG								?
A/swine/Iowa/A01941921/2015|12/30/2015|Iowa	2015-12-30	Iowa	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Iowa/A01728784/2016|01/04/2016|Iowa	2016-01-04	Iowa	?	?	?	?	2002B.2	pdm	?								?
A/swine/North_Carolina/A01729044/2016|01/05/2016|North_Carolina	2016-01-05	North Carolina	?	?	?	?	2002B.2	pdm	?								?
A/swine/Indiana/A01729047/2016|01/06/2016|Indiana	2016-01-06	Indiana	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/North_Carolina/A01729547/2016|01/11/2016|North_Carolina	2016-01-11	North Carolina	?	?	?	?	2002B.2	pdm	?								?
A/swine/Iowa/A01729543/2016|01/12/2016|Iowa	2016-01-12	Iowa	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Illinois/A01729658/2016|01/14/2016|Illinois	2016-01-14	Illinois	?	?	?	?	2002B.2	pdm	?								?
A/swine/Indiana/A01812151/2016|01/20/2016|Indiana	2016-01-20	Indiana	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/North_Carolina/A01730226/2016|01/25/2016|North_Carolina	2016-01-25	North Carolina	?	?	?	?	2002B.2	pdm	?								?
A/swine/Pennsylvania/A01730466/2016|01/27/2016|Pennsylvania	2016-01-27	Pennsylvania	?	?	?	?	2002B.2	pdm	?								?
A/swine/North_Carolina/A01730588/2016|01/28/2016|North_Carolina	2016-01-28	North Carolina	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Ohio/16TOSU0255/2016|02/01/2016|Ohio	2016-02-01	Ohio	TRIG	TRIG	TRIG	TRIG	?	pdm	TRIG	T	T	T	T	?	P	T	TTTTPT
A/swine/Minnesota/A01942325/2016|02/10/2016|Minnesota	2016-02-10	Minnesota	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/North_Carolina/A01732197/2016|02/15/2016|North_Carolina	2016-02-15	North Carolina	TRIG	TRIG	TRIG	pdm	2002B.2	pdm	TRIG	T	T	T	P	2	P	T	TTTPPT
A/swine/North_Carolina/A01731777/2016|02/16/2016|North_Carolina	2016-02-16	North Carolina	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/North_Carolina/A01732322/2016|02/22/2016|North_Carolina	2016-02-22	North Carolina	TRIG	TRIG	TRIG	pdm	2002B.2	pdm	TRIG	T	T	T	P	2	P	T	TTTPPT
A/swine/Illinois/A01732588/2016|02/25/2016|Illinois	2016-02-25	Illinois	?	?	?	?	2002B.2	pdm	?								?
A/swine/Illinois/A01749812/2016|02/29/2016|Illinois	2016-02-29	Illinois	?	?	?	?	2002B.2	pdm	?								?
A/swine/North_Carolina/A01732888/2016|03/03/2016|North_Carolina	2016-03-03	North Carolina	?	?	?	?	2002B.2	pdm	?								?
A/swine/North_Carolina/A01732941/2016|03/07/2016|North_Carolina	2016-03-07	North Carolina	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Iowa/A01733626/2016|03/16/2016|Iowa	2016-03-16	Iowa	?	?	?	?	2002A.2	pdm	?								?
A/swine/Pennsylvania/A01733733/2016|03/17/2016|Pennsylvania	2016-03-17	Pennsylvania	?	?	?	?	2002B.2	pdm	?								?
A/swine/North_Carolina/A01894277/2016|03/25/2016|North_Carolina	2016-03-25	North Carolina	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Iowa/A01894589/2016|04/01/2016|Iowa	2016-04-01	Iowa	?	?	?	?	2002A.2	pdm	?								?
A/swine/North_Carolina/A01895828/2016|04/14/2016|North_Carolina	2016-04-14	North Carolina	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/North_Carolina/A01895772/2016|04/15/2016|North_Carolina	2016-04-15	North Carolina	?	?	?	?	2002B.2	pdm	?								?
A/swine/Illinois/A01895671/2016|04/18/2016|Illinois	2016-04-18	Illinois	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/North_Dakota/A01895932/2016|04/19/2016|North_Dakota	2016-04-19	North Dakota	?	?	?	?	2002A.2	pdm	?								?
A/swine/North_Carolina/A01895763/2016|04/20/2016|North_Carolina	2016-04-20	North Carolina	?	?	?	?	2002B.2	pdm	?								?
A/swine/North_Carolina/A01895864/2016|04/21/2016|North_Carolina	2016-04-21	North Carolina	?	?	?	?	2002B.2	pdm	?								?
A/swine/Indiana/A01812202/2016|04/24/2016|Indiana	2016-04-24	Indiana	TRIG	TRIG	TRIG	pdm	2002B.2	pdm	TRIG	T	T	T	P	2	P	T	TTTPPT
A/swine/Colorado/A01775092/2016|05/11/2016|Colorado	2016-05-11	Colorado	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/North_Carolina/A01775461/2016|05/13/2016|North_Carolina	2016-05-13	North Carolina	?	?	?	?	2002B.2	pdm	?								?
A/swine/Missouri/A01775853/2016|05/24/2016|Missouri	2016-05-24	Missouri	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Ohio/16TOSU1230/2016|05/28/2016|Ohio	2016-05-28	Ohio	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Indiana/16TOSU4055/2016|06/01/2016|Indiana	2016-06-01	Indiana	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Indiana/16TOSU4043/2016|06/01/2016|Indiana	2016-06-01	Indiana	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Indiana/16TOSU4141/2016|06/01/2016|Indiana	2016-06-01	Indiana	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Indiana/16TOSU4158/2016|06/01/2016|Indiana	2016-06-01	Indiana	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Michigan/16TOSU3404/2016|06/01/2016|Michigan	2016-06-01	Michigan	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Michigan/16TOSU3328/2016|06/01/2016|Michigan	2016-06-01	Michigan	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Iowa/16TOSU2298/2016|06/01/2016|Iowa	2016-06-01	Iowa	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Indiana/16TOSU2159/2016|06/01/2016|Indiana	2016-06-01	Indiana	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Illinois/16TOSU6940/2016|06/01/2016|Illinois	2016-06-01	Illinois	TRIG	TRIG	TRIG	TRIG	?	pdm	TRIG	T	T	T	T	?	P	T	TTTTPT
A/swine/Indiana/16TOSU4114/2016|06/01/2016|Indiana	2016-06-01	Indiana	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Illinois/16TOSU7168/2016|06/01/2016|Illinois	2016-06-01	Illinois	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Iowa/16TOSU2707/2016|06/09/2016|Iowa	2016-06-09	Iowa	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Iowa/16TOSU2673/2016|06/09/2016|Iowa	2016-06-09	Iowa	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Iowa/16TOSU2677/2016|06/09/2016|Iowa	2016-06-09	Iowa	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Iowa/16TOSU2822/2016|06/09/2016|Iowa	2016-06-09	Iowa	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Iowa/16TOSU2424/2016|06/09/2016|Iowa	2016-06-09	Iowa	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Iowa/16TOSU2708/2016|06/09/2016|Iowa	2016-06-09	Iowa	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Iowa/16TOSU2493/2016|06/09/2016|Iowa	2016-06-09	Iowa	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Iowa/16TOSU2589/2016|06/09/2016|Iowa	2016-06-09	Iowa	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Iowa/16TOSU2257/2016|06/09/2016|Iowa	2016-06-09	Iowa	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Iowa/16TOSU2709/2016|06/09/2016|Iowa	2016-06-09	Iowa	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Iowa/16TOSU2256/2016|06/09/2016|Iowa	2016-06-09	Iowa	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Iowa/16TOSU2549/2016|06/09/2016|Iowa	2016-06-09	Iowa	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Iowa/16TOSU2585/2016|06/09/2016|Iowa	2016-06-09	Iowa	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Iowa/16TOSU2289/2016|06/09/2016|Iowa	2016-06-09	Iowa	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Iowa/16TOSU2307/2016|06/09/2016|Iowa	2016-06-09	Iowa	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Iowa/16TOSU2346/2016|06/09/2016|Iowa	2016-06-09	Iowa	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Iowa/16TOSU2534/2016|06/09/2016|Iowa	2016-06-09	Iowa	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Iowa/16TOSU2850/2016|06/09/2016|Iowa	2016-06-09	Iowa	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Iowa/16TOSU2464/2016|06/09/2016|Iowa	2016-06-09	Iowa	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Indiana/16TOSU2894/2016|06/12/2016|Indiana	2016-06-12	Indiana	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Indiana/16TOSU2935/2016|06/12/2016|Indiana	2016-06-12	Indiana	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Indiana/16TOSU2879/2016|06/12/2016|Indiana	2016-06-12	Indiana	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Indiana/16TOSU2922/2016|06/12/2016|Indiana	2016-06-12	Indiana	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Indiana/16TOSU2907/2016|06/12/2016|Indiana	2016-06-12	Indiana	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Indiana/16TOSU2990/2016|06/12/2016|Indiana	2016-06-12	Indiana	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Michigan/16TOSU3389/2016|06/18/2016|Michigan	2016-06-18	Michigan	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Michigan/16TOSU3395/2016|06/18/2016|Michigan	2016-06-18	Michigan	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Indiana/16TOSU2234/2016|06/18/2016|Indiana	2016-06-18	Indiana	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Michigan/16TOSU3399/2016|06/18/2016|Michigan	2016-06-18	Michigan	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Michigan/16TOSU3342/2016|06/18/2016|Michigan	2016-06-18	Michigan	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Michigan/16TOSU3443/2016|06/18/2016|Michigan	2016-06-18	Michigan	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Michigan/16TOSU3442/2016|06/18/2016|Michigan	2016-06-18	Michigan	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Michigan/16TOSU3418/2016|06/18/2016|Michigan	2016-06-18	Michigan	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Michigan/16TOSU3407/2016|06/18/2016|Michigan	2016-06-18	Michigan	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Michigan/16TOSU3406/2016|06/18/2016|Michigan	2016-06-18	Michigan	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Michigan/16TOSU3403/2016|06/18/2016|Michigan	2016-06-18	Michigan	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Michigan/16TOSU3386/2016|06/18/2016|Michigan	2016-06-18	Michigan	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Michigan/16TOSU3388/2016|06/18/2016|Michigan	2016-06-18	Michigan	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Michigan/16TOSU3334/2016|06/18/2016|Michigan	2016-06-18	Michigan	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Michigan/16TOSU3397/2016|06/18/2016|Michigan	2016-06-18	Michigan	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Michigan/16TOSU3335/2016|06/18/2016|Michigan	2016-06-18	Michigan	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Indiana/16TOSU2160/2016|06/18/2016|Indiana	2016-06-18	Indiana	TRIG	TRIG	TRIG	TRIG	?	pdm	TRIG	T	T	T	T	?	P	T	TTTTPT
A/swine/Oklahoma/A01776961/2016|06/20/2016|Oklahoma	2016-06-20	Oklahoma	?	?	?	?	2002B.2	pdm	?								?
A/swine/North_Carolina/A01776873/2016|06/21/2016|North_Carolina	2016-06-21	North Carolina	?	?	?	?	2002B.2	pdm	?								?
A/swine/Indiana/A01812235/2016|06/23/2016|Indiana	2016-06-23	Indiana	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Indiana/16TOSU6758/2016|06/24/2016|Indiana	2016-06-24	Indiana	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Iowa/A01777663/2016|06/29/2016|Iowa	2016-06-29	Iowa	?	?	?	?	2002B.2	?	?								?
A/swine/Indiana/16TOSU4426/2016|07/01/2016|Indiana	2016-07-01	Indiana	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Indiana/16TOSU4438/2016|07/01/2016|Indiana	2016-07-01	Indiana	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Indiana/16TOSU7618/2016|07/01/2016|Indiana	2016-07-01	Indiana	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Michigan/16TOSU7559/2016|07/01/2016|Michigan	2016-07-01	Michigan	TRIG	TRIG	TRIG	TRIG	?	pdm	TRIG	T	T	T	T	?	P	T	TTTTPT
A/swine/North_Carolina/A01777393/2016|07/06/2016|North_Carolina	2016-07-06	North Carolina	?	?	?	?	2002B.2	?	?								?
A/swine/Indiana/A01777672/2016|07/06/2016|Indiana	2016-07-06	Indiana	?	?	?	?	2002B.2	?	?								?
A/swine/Kentucky/16TOSU3279/2016|07/07/2016|Kentucky	2016-07-07	Kentucky	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Kentucky/16TOSU3477/2016|07/07/2016|Kentucky	2016-07-07	Kentucky	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Kentucky/16TOSU3494/2016|07/07/2016|Kentucky	2016-07-07	Kentucky	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Kentucky/16TOSU6724/2016|07/07/2016|Kentucky	2016-07-07	Kentucky	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Michigan/16TOSU7563/2016|07/16/2016|Michigan	2016-07-16	Michigan	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/South_Dakota/A01777894/2016|07/21/2016|South_Dakota	2016-07-21	South Dakota	?	?	?	?	2002B.2	?	?								?
A/swine/Indiana/A01812245/2016|07/21/2016|Indiana	2016-07-21	Indiana	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Iowa/A01777893/2016|07/21/2016|Iowa	2016-07-21	Iowa	?	?	?	?	2002B.2	?	?								?
A/swine/Oklahoma/A01777830/2016|07/22/2016|Oklahoma	2016-07-22	Oklahoma	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Illinois/A01104098/2016|07/25/2016|Illinois	2016-07-25	Illinois	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Indiana/A01812246/2016|07/26/2016|Indiana	2016-07-26	Indiana	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/North_Carolina/A01777989/2016|07/27/2016|North_Carolina	2016-07-27	North Carolina	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Kentucky/16TOSU8970/2016|08/01/2016|Kentucky	2016-08-01	Kentucky	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Michigan/16TOSU5086/2016|08/01/2016|Michigan	2016-08-01	Michigan	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Michigan/16TOSU5089/2016|08/06/2016|Michigan	2016-08-06	Michigan	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Michigan/16TOSU5083/2016|08/06/2016|Michigan	2016-08-06	Michigan	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Iowa/A01778607/2016|08/17/2016|Iowa	2016-08-17	Iowa	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Iowa/A01778878/2016|08/22/2016|Iowa	2016-08-22	Iowa	?	?	?	?	2002B.2	?	?								?
A/swine/Nebraska/A01781042/2016|08/30/2016|Nebraska	2016-08-30	Nebraska	?	?	?	?	2002B.2	?	?								?
A/swine/North_Carolina/A01781224/2016|09/07/2016|North_Carolina	2016-09-07	North Carolina	?	?	?	?	2002B.2	?	?								?
A/swine/Nebraska/A01781225/2016|09/08/2016|Nebraska	2016-09-08	Nebraska	TRIG	TRIG	TRIG	pdm	2002B.2	pdm	TRIG	T	T	T	P	2	P	T	TTTPPT
A/swine/North_Carolina/A01781410/2016|09/14/2016|North_Carolina	2016-09-14	North Carolina	?	?	?	?	2002B.2	?	?								?
A/swine/North_Carolina/A01781579/2016|09/20/2016|North_Carolina	2016-09-20	North Carolina	?	?	?	?	2002B.2	?	?								?
A/swine/North_Dakota/A01782435/2016|10/18/2016|North_Dakota	2016-10-18	North Dakota	TRIG	TRIG	TRIG	TRIG	2002A.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/North_Carolina/A01782800/2016|10/27/2016|North_Carolina	2016-10-27	North Carolina	?	?	?	?	2002B.2	?	?								?
A/swine/North_Carolina/A01668240/2016|11/10/2016|North_Carolina	2016-11-10	North Carolina	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
