strain	date	division	PB2	PB1	PA	NP	NA	MP	NS	PB2_letter	PB1_letter	PA_letter	NP_letter	NA_letter	MP_letter	NS_letter	constellation
A/swine/Minnesota/A01469329/2014|12/18/2014|Minnesota	2014-12-18	Minnesota	?	?	?	?	2002B.2	pdm	?								?
A/swine/Nebraska/A01567207/2014|12/18/2014|Nebraska	2014-12-18	Nebraska	?	?	?	?	2002A.2	pdm	?								?
A/swine/Iowa/A01840226/2014|12/19/2014|Iowa	2014-12-19	Iowa	?	?	?	?	2002B.2	pdm	?								?
A/swine/North_Carolina/A01555273/2015|01/02/2015|North_Carolina	2015-01-02	North Carolina	?	?	?	?	2002B.2	pdm	?								?
A/swine/North_Carolina/A01840289/2015|01/07/2015|North_Carolina	2015-01-07	North Carolina	?	?	?	?	2002B.2	pdm	?								?
A/swine/North_Carolina/A01840322/2015|01/09/2015|North_Carolina	2015-01-09	North Carolina	?	?	?	?	2002B.2	pdm	?								?
A/swine/Illinois/A01840336/2015|01/12/2015|Illinois	2015-01-12	Illinois	?	?	?	?	?	pdm	?								?
A/swine/Kansas/14_000624/2015|01/12/2015|Kansas	2015-01-12	Kansas	?	?	?	?	2002B.2	pdm	?								?
A/swine/Nebraska/A01567651/2015|01/12/2015|Nebraska	2015-01-12	Nebraska	?	?	?	?	2002A.2	pdm	?								?
A/swine/North_Carolina/A01840506/2015|01/16/2015|North_Carolina	2015-01-16	North Carolina	?	?	?	?	2002B.2	pdm	?								?
A/swine/Nebraska/A01567868/2015|01/23/2015|Nebraska	2015-01-23	Nebraska	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Illinois/A01462594/2015|01/23/2015|Illinois	2015-01-23	Illinois	?	?	?	?	2002B.2	pdm	?								?
A/swine/Illinois/A01489882/2015|01/27/2015|Illinois	2015-01-27	Illinois	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Illinois/A01462644/2015|01/29/2015|Illinois	2015-01-29	Illinois	?	?	?	?	2002B.2	pdm	?								?
A/swine/Illinois/A01462663/2015|02/02/2015|Illinois	2015-02-02	Illinois	?	?	?	?	2002B.2	pdm	?								?
A/swine/Nebraska/A01478775/2015|02/03/2015|Nebraska	2015-02-03	Nebraska	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/North_Carolina/A01555533/2015|02/03/2015|North_Carolina	2015-02-03	North Carolina	?	?	?	?	2002B.2	pdm	?								?
A/swine/North_Carolina/A01555522/2015|02/03/2015|North_Carolina	2015-02-03	North Carolina	?	?	?	?	2002B.2	pdm	?								?
A/swine/Iowa/A01478820/2015|02/12/2015|Iowa	2015-02-12	Iowa	?	?	?	?	2002B.2	pdm	?								?
A/swine/Illinois/A01478890/2015|02/19/2015|Illinois	2015-02-19	Illinois	?	?	?	?	2002B.2	pdm	?								?
A/swine/Illinois/A01555570/2015|02/19/2015|Illinois	2015-02-19	Illinois	?	?	?	?	2002B.2	pdm	?								?
A/swine/North_Carolina/A01555667/2015|02/23/2015|North_Carolina	2015-02-23	North Carolina	?	?	?	?	2002B.2	pdm	?								?
A/swine/Iowa/A01840866/2015|02/25/2015|Iowa	2015-02-25	Iowa	?	?	?	?	2002B.2	pdm	?								?
A/swine/Illinois/A01555638/2015|02/26/2015|Illinois	2015-02-26	Illinois	?	?	?	?	2002B.2	pdm	?								?
A/swine/North_Carolina/A01841335/2015|03/05/2015|North_Carolina	2015-03-05	North Carolina	?	?	?	?	2002B.2	pdm	?								?
A/swine/Indiana/A01841389/2015|03/10/2015|Indiana	2015-03-10	Indiana	?	?	?	?	2002B.2	pdm	?								?
A/swine/Nebraska/A01489647/2015|03/10/2015|Nebraska	2015-03-10	Nebraska	?	?	?	?	2002A.2	pdm	?								?
A/swine/Illinois/A01840991/2015|03/11/2015|Illinois	2015-03-11	Illinois	?	?	?	?	2002B.2	pdm	?								?
A/swine/North_Carolina/A01841712/2015|03/19/2015|North_Carolina	2015-03-19	North Carolina	?	?	?	?	2002B.2	pdm	?								?
A/swine/Nebraska/A01489819/2015|03/19/2015|Nebraska	2015-03-19	Nebraska	?	?	?	?	2002A.2	pdm	?								?
A/swine/Illinois/A01820128/2015|03/20/2015|Illinois	2015-03-20	Illinois	?	?	?	?	2002B.2	pdm	?								?
A/swine/Michigan/A01104086/2015|03/23/2015|Michigan	2015-03-23	Michigan	TRIG	TRIG	TRIG	TRIG	?	pdm	TRIG	T	T	T	T	?	P	T	TTTTPT
A/swine/Illinois/A01841768/2015|03/26/2015|Illinois	2015-03-26	Illinois	?	?	?	?	2002B.2	pdm	?								?
A/swine/Indiana/A01260863/2015|04/03/2015|Indiana	2015-04-03	Indiana	?	?	?	?	2002B.2	pdm	?								?
A/swine/Nebraska/A01847132/2015|04/06/2015|Nebraska	2015-04-06	Nebraska	?	?	?	?	2002B.2	pdm	?								?
